"country","DISP_AREA","UN_status_detail","UNmemberstate","UN_status","territoryof","ISO"
"Afghanistan","NO","Member State",1,5,"Member State","AFG"
"Aksai Chin","YES","Sovereignty unsettled",0,2,NA,NA
"Albania","NO","Member State",1,5,"Member State","ALB"
"Algeria","NO","Member State",1,5,"Member State","DZA"
"American Samoa","NO","US Non-Self-Governing Territory",0,5,"US Non-Self-Governing Territory","ASM"
"Andorra","NO","Member State",1,5,"Member State","AND"
"Angola","NO","Member State",1,5,"Member State","AGO"
"Anguilla","NO","UK Non-Self-Governing Territory",0,4,NA,"AIA"
"Antarctica","NO",NA,NA,NA,NA,"ATA"
"Antigua and Barbuda","NO","Member State",1,5,"Member State","ATG"
"Argentina","NO","Member State",1,5,"Member State","ARG"
"Armenia","NO","Member State",1,5,"Member State","ARM"
"Aruba","NO","NL Self-Governing Territory",0,5,"NL Self-Governing Territory","ABW"
"Arunachal Pradesh","YES","Sovereignty unsettled",0,2,NA,NA
"Ashmore and Cartier Islands","NO","AU Territory",0,5,"AU Territory",NA
"Australia","NO","Member State",1,5,"Member State","AUS"
"Austria","NO","Member State",1,5,"Member State","AUT"
"Azerbaijan","NO","Member State",1,5,"Member State","AZE"
"Azores Islands","NO","PT Territory",0,2,NA,NA
"Bahamas","NO","Member State",1,5,"Member State","BHS"
"Bahrain","NO","Member State",1,5,"Member State","BHR"
"Baker Island","NO","US Territory",0,5,"US Territory",NA
"Bangladesh","NO","Member State",1,5,"Member State","BGD"
"Barbados","NO","Member State",1,5,"Member State","BRB"
"Bassas da India","NO","FR Territory",0,5,"FR Territory",NA
"Belarus","NO","Member State",1,5,"Member State","BLR"
"Belgium","NO","Member State",1,5,"Member State","BEL"
"Belize","NO","Member State",1,5,"Member State","BLZ"
"Benin","NO","Member State",1,5,"Member State","BEN"
"Bermuda","NO","UK Non-Self-Governing Territory",0,4,NA,"BMU"
"Bhutan","NO","Member State",1,5,"Member State","BTN"
"Bird Island","NO","VE Territory",0,5,"VE Territory",NA
"Bolivia (Plurinational State of)","NO","Member State",1,5,"Member State","BOL"
"Bosnia and Herzegovina","NO","Member State",1,5,"Member State","BIH"
"Botswana","NO","Member State",1,5,"Member State","BWA"
"Bouvet Island","NO","NO Territory",0,5,"NO Territory","BVT"
"Brazil","NO","Member State",1,5,"Member State","BRA"
"British Indian Ocean Territory","NO","UK Territory",0,3,NA,"IOT"
"British Virgin Islands","NO","UK Non-Self-Governing Territory",0,4,NA,"VGB"
"Brunei Darussalam","NO","Member State",1,5,"Member State","BRN"
"Bulgaria","NO","Member State",1,5,"Member State","BGR"
"Burkina Faso","NO","Member State",1,5,"Member State","BFA"
"Burundi","NO","Member State",1,5,"Member State","BDI"
"Cabo Verde","NO","Member State",1,5,"Member State","CPV"
"Cambodia","NO","Member State",1,5,"Member State","KHM"
"Cameroon","NO","Member State",1,5,"Member State","CMR"
"Canada","NO","Member State",1,5,"Member State","CAN"
"Cayman Islands","NO","UK Non-Self-Governing Territory",0,4,NA,"CYM"
"Central African Republic","NO","Member State",1,5,"Member State","CAF"
"Chad","NO","Member State",1,5,"Member State","TCD"
"Chile","NO","Member State",1,5,"Member State","CHL"
"China","NO","Member State",1,5,"Member State","CHN"
"China/India","YES","Sovereignty unsettled",0,2,NA,NA
"Christmas Island","NO","AU Territory",0,5,"AU Territory","CXR"
"Clipperton Island","NO","FR Territory",0,5,"FR Territory",NA
"Cocos (Keeling) Islands","NO","AU Territory",0,5,"AU Territory","CCK"
"Colombia","NO","Member State",1,5,"Member State","COL"
"Comoros","NO","Member State",1,5,"Member State","COM"
"Congo","NO","Member State",1,5,"Member State","COG"
"Cook Islands","NO","NZ Territory",0,5,"NZ Territory","COK"
"Costa Rica","NO","Member State",1,5,"Member State","CRI"
"Croatia","NO","Member State",1,5,"Member State","HRV"
"Cuba","NO","Member State",1,5,"Member State","CUB"
"Cyprus","NO","Member State",1,5,"Member State","CYP"
"Czechia","NO","Member State",1,5,"Member State","CZE"
"Côte D'Ivoire","NO","Member State",1,5,"Member State","CIV"
"Dem People's Rep of Korea","NO","Member State",1,5,"Member State","PRK"
"Democratic Republic of the Congo","NO","Member State",1,5,"Member State","COD"
"Denmark","NO","Member State",1,5,"Member State","DNK"
"Djibouti","NO","Member State",1,5,"Member State","DJI"
"Dominica","NO","Member State",1,5,"Member State","DMA"
"Dominican Republic","NO","Member State",1,5,"Member State","DOM"
"Ecuador","NO","Member State",1,5,"Member State","ECU"
"Egypt","NO","Member State",1,5,"Member State","EGY"
"El Salvador","NO","Member State",1,5,"Member State","SLV"
"Equatorial Guinea","NO","Member State",1,5,"Member State","GNQ"
"Eritrea","NO","Member State",1,5,"Member State","ERI"
"Estonia","NO","Member State",1,5,"Member State","EST"
"Eswatini","NO","Member State",1,5,"Member State","SWZ"
"Ethiopia","NO","Member State",1,5,"Member State","ETH"
"Europa Island","NO","FR Territory",0,5,"FR Territory",NA
"Falkland Islands (Malvinas)","NO","UK Non-Self-Governing Territory",0,4,NA,"FLK"
"Faroe Islands","NO","DK Territory",0,5,"DK Territory","FRO"
"Fiji","NO","Member State",1,5,"Member State","FJI"
"Finland","NO","Member State",1,5,"Member State","FIN"
"France","NO","Member State",1,5,"Member State","FRA"
"French Guiana","NO","Member State",1,5,"Member State","GUF"
"French Polynesia","NO","FR Territory",0,5,"FR Territory","PYF"
"French Southern and Antarctic Territories","NO","FR Territory",0,5,"FR Territory","ATF"
"Gabon","NO","Member State",1,5,"Member State","GAB"
"Gambia (Republic of The)","NO","Member State",1,5,"Member State","GMB"
